SN_Number,影片名稱,年份,集數,觀看人數,網址
112626,MEGALOBOX 機甲拳擊,2018/04,第13集,5.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112626
93689,Aikatsu! 偶像學園！Friends,2018/04,第50集,54.9萬,https://ani.gamer.com.tw/animeRef.php?sn=93689
91870,多田君不戀愛,2018/04,第13集,最近搜尋,https://ani.gamer.com.tw/animeRef.php?sn=91870
91929,東京喰種：re,2018/04,第12集,熱門搜尋,https://ani.gamer.com.tw/animeRef.php?sn=91929
92954,隊長小翼,2018/04,第52集,66.6萬,https://ani.gamer.com.tw/animeRef.php?sn=92954
92412,妖怪旅館營業中,2018/04,第26集,73.2萬,https://ani.gamer.com.tw/animeRef.php?sn=92412
91492,宇宙戰艦提拉米斯,2018/04,第16集,161.1萬,https://ani.gamer.com.tw/animeRef.php?sn=91492
112634,冷然之天秤,2018/04,第12集,362.4萬,https://ani.gamer.com.tw/animeRef.php?sn=112634
112622,賽馬娘,2018/04,第13集,83.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112622
105061,魔法 X 戰士 魔力純心,2018/04,第51集,1.2萬,https://ani.gamer.com.tw/animeRef.php?sn=105061
96378,路人超能100 REIGEN ～不為人知的奇蹟靈能力者～,2018/03,第1集,46.9萬,https://ani.gamer.com.tw/animeRef.php?sn=96378
104307,超人力霸王捷德 劇場版,2018/03,第1集,2.7萬,https://ani.gamer.com.tw/animeRef.php?sn=104307
94679,UQ HOLDER！悠久持有者！剎那永恆的初吻,2018/03,第1集,19.1萬,https://ani.gamer.com.tw/animeRef.php?sn=94679
112526,EX-AID Trilogy Another・Ending 假面騎士 Genm VS Lazer,2018/03,第1集,1.7萬,https://ani.gamer.com.tw/animeRef.php?sn=112526
112443,文豪野犬 劇場版 DEAD APPLE,2018/03,第1集,11.5萬,https://ani.gamer.com.tw/animeRef.php?sn=112443
90088,道別的早晨就用約定之花點綴吧,2018/02,第1集,6492,https://ani.gamer.com.tw/animeRef.php?sn=90088
112525,EX-AID Trilogy Another・Ending 假面騎士 Para-DX with Poppy,2018/02,第1集,3.3萬,https://ani.gamer.com.tw/animeRef.php?sn=112525
112524,EX-AID Trilogy Another・Ending 假面騎士 Brave ＆ Snipe,2018/02,第1集,7.2萬,https://ani.gamer.com.tw/animeRef.php?sn=112524
112418,衛宮家今天的餐桌風景,2018/01,第13集,5521,https://ani.gamer.com.tw/animeRef.php?sn=112418
112510,驚爆危機 總集篇 第三部：Into the blue,2018/01,第1集,4652,https://ani.gamer.com.tw/animeRef.php?sn=112510
112509,驚爆危機 總集篇 第二部：One-night stand,2018/01,第1集,43.6萬,https://ani.gamer.com.tw/animeRef.php?sn=112509
92275,劇場版 進擊的巨人 覺醒的咆哮,2018/01,第1集,8848,https://ani.gamer.com.tw/animeRef.php?sn=92275
